Level 1: Case Type,Case type Definition,Case type Definition - Old,Level 2: Issue Type,Issue type Definition - Old,issue Type Definition,Level 3: Reason,Reason Definition - Old,Reason Definition
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Settlements,Queries about Settlement lifecycle and reconciliation,Queries about Settlement lifecycle and reconciliation,Reconciliation issue,IF merchant is struggling to match report or Dashboard data to their bank statement entries or is reporting a discrepancy between expected and actual balances  THEN select this.,IF merchant is struggling to match report or Dashboard data to their bank statement entries or is reporting a discrepancy between expected and actual balances  THEN select this.
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Balance,Queries about Balance status and confirmation,Queries about Balance status and confirmation,Balance confirmation,If the merchant needs a Statement of account (SOA) or balance confirmation document for audit purposes THEN select this,If the merchant needs a Statement of account (SOA) or balance confirmation document for audit purposes THEN select this
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Balance,Queries about Balance status and confirmation,Queries about Balance status and confirmation,Negative balance,IF the merchant is struggling to understand why they have a negative balance on their account THEN select this,IF the merchant is struggling to understand why they have a negative balance on their account THEN select this
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Balance,Queries about Balance status and confirmation,Queries about Balance status and confirmation,Balance top up,IF the merchant needs to top up their balance THEN select this,IF the merchant needs to top up their balance THEN select this
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Balance,Queries about Balance status and confirmation,Queries about Balance status and confirmation,Balance explanation,If the merchant needs help understanding their Balance or needs help understanding different balance types and how funds are allocated THEN select this. then select this,"IF the merchant needs help understanding their balance or how funds are allocated, reports balance discrepancies or is unable to reconcile figures between reports or different balance types"
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Billing & Fees,Queries about fees charged,Queries about fees charged,Invoice Request,IF merchant needs a copy of their tax or service invoice THEN select this.,IF merchant needs a copy of their tax or service invoice THEN select this.
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Billing & Fees,Queries about fees charged,Queries about fees charged,Fee Inquiry,"IF merchant questions a specific charge (e.g., Interchange, Scheme fee) THEN select this.","IF merchant questions a specific charge (e.g., Interchange, Scheme fee) THEN select this."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",API Credentials,Queries about Keys for integration,Queries regarding the management of authentication keys (Secret/Public OAuth) and their access permissions.,Create / Edit Keys,If the merchant is asking about how to create or edit API keys then select this,"If the merchant is asking about how to create, edit or troubleshoot API keys then select this"
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",API Credentials,Queries about Keys for integration,Queries regarding the management of authentication keys (Secret/Public OAuth) and their access permissions.,Key Scopes,If the merchant is asking about what scopes they need for their API key then select this,"Select this if the merchant is inquiring about which permissions are required or if they are explicitly requesting that specific scopes, such as /metadata/card, be granted to their API keys."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",API Integration,Queries about integration of API,"Queries regarding raw API responses, HTTP status codes, and network connectivity. (Use this as the ""catch-all"" for API errors that are not specific to a Plugin, Flow, Frames, SDK or Payment Links).",API Error 4XX / Logic Error,If the merchant is having errors with any HTTP 400 codes then select this,"IF the merchant encounters HTTP 400-level errors (e.g., 404 Not Found, 422 Validation Error) indicating the issue lies with the request, OR reports functional integration bugs. Specific scenarios include redirect parameter mismatches, invalid data formats, missing response payloads, or logic errors where the system rejects the input."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",API Integration,Queries about integration of API,"Queries regarding raw API responses, HTTP status codes, and network connectivity. (Use this as the ""catch-all"" for API errors that are not specific to a Plugin, Flow, Frames, SDK or Payment Links).",API Error 5XX,If the merchant is getting 500 HTTP errors then select this,"Choose this category when the merchant reports HTTP 500-level errors, indicating that the request was valid but the server failed to fulfill it due to technical faults like Service Unavailable (503). This definition applies to broader infrastructure problems, including issues with the overall API status, synchronization failures caused by server crashes, or internal system errors that prevent the completion of the request. It is the correct selection for outages or downtimes where the provider's system is unresponsive."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",API Integration,Queries about integration of API,"Queries regarding raw API responses, HTTP status codes, and network connectivity. (Use this as the ""catch-all"" for API errors that are not specific to a Plugin, Flow, Frames, SDK or Payment Links).",Idempotency / Timeout,If the merchant is getting timeout or idempotency issues on API requests then select this,If the merchant is getting timeout or idempotency issues on API requests then select this
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Tokens,Queries about tokens (including token migration and network tokens),Queries about tokens (including token migration and network tokens),Network tokens,If the merchant is asking about Network Tokens then select this,"IF the issue involves Network Tokens, including inquiries about token migration, provisioning status, or specific technical errors related to tokenization logic (e.g., PEM values or cryptograms)."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Tokens,Queries about tokens (including token migration and network tokens),Queries about tokens (including token migration and network tokens),Token migration,If the merchant is asking about import or export of their Tokens then select this,If the merchant is asking about import or export of their Tokens then select this
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Integration methods,Queries about integration of payments on their website and errors,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",Flow/Frames,If the merchant is asking about Flow or Frames or migration to Flow,If the merchant is asking about Flow or Frames or migration to Flow
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Integration methods,Queries about integration of payments on their website and errors,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",Payment Links/Hosted Payment Pages,If a merchant is asking about Payment Links issues then select this,If a merchant is asking about Payment Links or Hosted Payment Page issues then select this
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Integration methods,Queries about integration of payments on their website and errors,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",SDK issue,If a merchant is asking about an SDK issue then select this,If a merchant is asking about an SDK issue then select this
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Integration methods,Queries about integration of payments on their website and errors,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",E-Commerce Plugin,"If a merchant is asking about an Plugin issue like Shopify, Woocommerce and others then select this","If a merchant is asking about an Plugin issue like Shopify, Woocommerce and others then select this"
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Integration methods,Queries about integration of payments on their website and errors,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",Apple Pay/Google pay,If a merchant is asking about an Apple Pay or Google pay integration error or setup then select this,"IF the merchant is asking about Apple Pay or Google Pay setup, integration, certificates, domain verification, or method-specific errors THEN select this."
TECHNICAL ISSUE,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).","Refers to integration or technical related issues, such as API HTTP errors which contain 400 or 500 codes, API keys, webhooks or token issues.",Webhooks,Queries about webhooks,Queries about webhooks,Webhook setup,If a merchant asks how to configure webhooks then select this,"Select this category when a merchant is unable to successfully configure or connect their webhooks, including errors within third-party plugins like Shopify or requests for initial registration in environments like Sandbox. This definition covers all configuration-stage inquiries, such as Endpoint Registration Failures, where the listener URL cannot be saved, or when the merchant needs assistance enabling the service before any live transactions occur."
