Level 1: Case Type,Case type definition,Level 2: Issue Type,Level 2: Issue Type definition,Level 3: Reason,Level 3: Reason definition
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Billing & fees,Queries about fees charged,Fee inquiry,"IF merchant questions a specific charge (e.g., Interchange, Scheme fee) THEN select this."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",API keys,Queries regarding the management of authentication keys (Secret/Public OAuth) and their access permissions.,Create / edit keys,"If the merchant is asking about how to create, edit or troubleshoot API keys then select this"
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",API keys,Queries regarding the management of authentication keys (Secret/Public OAuth) and their access permissions.,Key scopes,"Select this if the merchant is inquiring about which permissions are required or if they are explicitly requesting that specific scopes, such as /metadata/card, be granted to their API keys."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",API integration,"Queries regarding raw API responses, HTTP status codes, and network connectivity. (Use this as the ""catch-all"" for API errors that are not specific to a Plugin, Flow, Frames, SDK or Payment Links).",API error 4XX / logic error,"IF the merchant encounters HTTP 400-level errors (e.g., 404 Not Found, 422 Validation Error) indicating the issue lies with the request, OR reports functional integration bugs. Specific scenarios include redirect parameter mismatches, invalid data formats, missing response payloads, or logic errors where the system rejects the input."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",API integration,"Queries regarding raw API responses, HTTP status codes, and network connectivity. (Use this as the ""catch-all"" for API errors that are not specific to a Plugin, Flow, Frames, SDK or Payment Links).",API error 5XX,"Choose this category when the merchant reports HTTP 500-level errors, indicating that the request was valid but the server failed to fulfill it due to technical faults like Service Unavailable (503). This definition applies to broader infrastructure problems, including issues with the overall API status, synchronization failures caused by server crashes, or internal system errors that prevent the completion of the request. It is the correct selection for outages or downtimes where the provider's system is unresponsive."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",API integration,"Queries regarding raw API responses, HTTP status codes, and network connectivity. (Use this as the ""catch-all"" for API errors that are not specific to a Plugin, Flow, Frames, SDK or Payment Links).",Idempotency / timeout,If the merchant is getting timeout or idempotency issues on API requests then select this
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Tokens,Queries about tokens (including token migration and network tokens),Network tokens,"IF the issue involves Network Tokens, including inquiries about token migration, provisioning status, or specific technical errors related to tokenization logic (e.g., PEM values or cryptograms)."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Tokens,Queries about tokens (including token migration and network tokens),Token migration,If the merchant is asking about import or export of their Tokens then select this
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Integration methods,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",Flow / frames,If the merchant is asking about Flow or Frames or migration to Flow
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Integration methods,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",Payment links / hosted payment pages,If a merchant is asking about Payment Links or Hosted Payment Page issues then select this
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Integration methods,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",SDK issue,If a merchant is asking about an SDK issue then select this
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Integration methods,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",E-commerce plugin,"If a merchant is asking about an Plugin issue like Shopify, Woocommerce and others then select this"
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Integration methods,"IF the merchant is inquiring about the specific interface, library, or platform used to process payments, including hosted pages, plugins, SDKs, payment links, or digital wallets, THEN select this.",Apple Pay / Google Pay,"IF the merchant is asking about Apple Pay or Google Pay setup, integration, certificates, domain verification, or method-specific errors THEN select this."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Webhooks,Queries about webhooks,Webhook setup,"Select this category when a merchant is unable to successfully configure or connect their webhooks, including errors within third-party plugins like Shopify or requests for initial registration in environments like Sandbox. This definition covers all configuration-stage inquiries, such as Endpoint Registration Failures, where the listener URL cannot be saved, or when the merchant needs assistance enabling the service before any live transactions occur."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Webhooks,Queries about webhooks,Signature verification or delivery failure,"Select this category if the merchant reports webhook delivery issues, including: Delivery Latency, missed notifications/callbacks for specific events (like entity creation), synchronization failures where a Status Mismatch occurs because the webhook never arrived to update their system, dispatch timing investigations, or timeouts where the merchant questions if the webhook failed to sync a successful capture to their dashboard. Also select this for signature verification issues, including: questions about security headers, source IP verification, how to cryptographically verify the webhook signature, the secret key, the hashing algorithm used, or why their local verification logic is failing to authenticate the incoming request."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Webhooks,Queries about webhooks,Missing webhook data,"Select this category if the merchant reports inconsistent metadata, such as a missing orderId, or specifically points out that the Payload Data Format does not match their expectations. This definition applies when the webhook was successfully delivered, but the content inside was incomplete or incorrect, necessitating an investigation into why specific fields were excluded from the payload."
Technical issue,"**Definition:** Refers to integration or technical issues (API/SDK/webhook/connectivity), including HTTP 4xx/5xx errors, keys, tokens, and environment issues.
 

 **Includes:**
 * API Integration: HTTP/API errors (400/401/403/404/409/422/429/5xx), request validation, timeouts/idempotency, connectivity failures.
 * API Credentials: API key creation/rotation/scopes/permissions.
 * Webhooks: delivery failures, signature verification issues.
 * Tokens: token migration, network tokens/tokenisation configuration.
 * Environment: sandbox-specific issues.
 * E-Commerce Plugins / SDKs: Shopify/WooCommerce/Magento/SDK-specific integration problems.
 

 **Key Distinctions:**
 * HTTP Codes: HTTP status codes (400/401/403/404/409/422/429/500/502/503) or explicit API/endpoint/SDK failures belong here (e.g., ""API returned 500"", ""/payments endpoint failing"").
 * Integration Symptoms: If the symptom is plugin/checkout UI/integration behavior (redirects, saved cards, payment method disappeared from site), select this.
 * Network Tokens: Network Tokenization / Network Tokens / token migration / enabling NT questions belong here.
 * Unexplained Charges: If customer is charged an amount not reflected in Checkout.com records (wallet surcharge, 3DS fee, issuer fee), select this (integration layer investigation).",Test environment,"IF the issue involves transaction failures, configuration problems, or testing specifically within the Sandbox/Test environments, THEN select this.",Sandbox issue,IF the issue is about the non-production/testing environment THEN select this.
Data and analytics,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.",Reporting,Queries about Reports and data within,Report not generated / missing,"IF the merchant is unable to successfully generate, download, or access a specific report for any reason. Select this for issues regarding file availability, download failures, missing formats, or requests for manual extraction due to dashboard access limitations."
Data and analytics,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.",Reporting,Queries about Reports and data within,Data mismatch / missing data,IF there is a discrepancy or data gap in reports THEN select this.
Data and analytics,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.",Reporting,Queries about Reports and data within,Custom report request,IF the merchant requires a specific data set or column configuration not available by default THEN select this.
Data and analytics,"**Definition:** Refers to issues about reports either from the Dashboard or via SFTP. Includes issues about how to get a report and issues with the report data.
 

 **Includes:**
 * Reporting: report not generated/missing, data mismatch/missing columns/rows, scheduled reports, custom report requests, SFTP configuration/delivery.
 

 **Key Distinctions:**
 * Report Data vs Access: If the report is missing/incorrect/not generated/data mismatch/time range/filter/SFTP delivery, select this.
 * Network Tokens Reporting: If the question is about which report/API field shows NT status or NT flag mismatch between systems (e.g., ""our system shows NT=false but CKO shows NT=true""), select this.
 * Data Quality: If reconciliation issues are caused by data format/export problems (Excel truncation, unreadable ARNs, missing columns, encoding issues), select this.",Reporting,Queries about Reports and data within,SFTP configuration,If a merchant is asking about reporting using SFTP then select this
Platforms,"**Definition:** Covers Independent Software Vendors (ISVs) utilizing Checkout.com’s Integrated Platforms product to embed payments.
 

 **Includes:**
 * Sub-Merchant Onboarding: document upload errors, KYC verification, account activation where Checkout.com manages the risk.
 * Transfers & Splits: failed distributions, incorrect fund allocations between the platform and its sub-merchants.
 

 **Key Distinctions:**
 * The ""Platform Trap"": Use this ONLY when explicitly dealing with marketplace/ISV AND sub-merchants, splits/transfers, or sub-merchant onboarding.",Sub-merchant onboarding,Queries about onboarding merchants,Merchant activation and verification,"IF issues relate to the KYC, verification, or creation of a sub-merchant THEN select this."
Platforms,"**Definition:** Covers Independent Software Vendors (ISVs) utilizing Checkout.com’s Integrated Platforms product to embed payments.
 

 **Includes:**
 * Sub-Merchant Onboarding: document upload errors, KYC verification, account activation where Checkout.com manages the risk.
 * Transfers & Splits: failed distributions, incorrect fund allocations between the platform and its sub-merchants.
 

 **Key Distinctions:**
 * The ""Platform Trap"": Use this ONLY when explicitly dealing with marketplace/ISV AND sub-merchants, splits/transfers, or sub-merchant onboarding.",Sub-merchant onboarding,Queries about onboarding merchants,Doc upload error,IF issues relate to the sub merchant document upload then select this
Platforms,"**Definition:** Covers Independent Software Vendors (ISVs) utilizing Checkout.com’s Integrated Platforms product to embed payments.
 

 **Includes:**
 * Sub-Merchant Onboarding: document upload errors, KYC verification, account activation where Checkout.com manages the risk.
 * Transfers & Splits: failed distributions, incorrect fund allocations between the platform and its sub-merchants.
 

 **Key Distinctions:**
 * The ""Platform Trap"": Use this ONLY when explicitly dealing with marketplace/ISV AND sub-merchants, splits/transfers, or sub-merchant onboarding.",Transfers & splits,Queries about Transfers to merchants,Transfer or split failed,IF funds were not distributed correctly between the platform and sub-merchant THEN select this.
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Card management,Queries about managing cards,Create / activate card,IF merchant is having trouble setting up or enabling a new card THEN select this.
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Card management,Queries about managing cards,Revoke / suspend,IF merchant needs to cancel or temporarily freeze an active card THEN select this.
Card issuing,"**Definition:** Refers to issuing-related issues. Includes physical or virtual card issues and controls on these cards.
 

 **Includes:**
 * Card Management: create/activate cards, revoke/suspend, spend controls.
 * Logistics: physical card delivery.",Card management,Queries about managing cards,Spend controls,IF query is about adjusting limits or blocking specific categories (MCC) THEN select this.
