Field Name,Field Definition,Field Value,Value Definition,AI Summary
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20040,Requested function not supported,The requested operation is not supported for this card or issuer.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20051,Insufficient funds in the cardholder's account,The cardholder does not have enough funds — they should top up their account and retry.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20054,Expired card,The card has expired — the cardholder should use a new card.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20055,Incorrect PIN or PIN validation not possible,The PIN entered was incorrect or could not be validated.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20056,No card record found,The issuer has no record of this card — it may be cancelled or invalid.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20057,Transaction not permitted to cardholder — card has a restriction blocking this transaction type,The cardholder's card has a restriction that blocks this type of transaction — they should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20058,Transaction not permitted to terminal,This transaction type is not permitted on this terminal or processing configuration.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20059,Suspected fraud — issuer's fraud system flagged the transaction,The issuer's fraud system flagged this payment — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20061,Activity amount limit exceeded,The transaction exceeds the cardholder's spend limit — they should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20062,Restricted card,The card is restricted from making this type of payment.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20063,Security violation,A security check failed — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20065,Exceeds withdrawal frequency limit,The cardholder has made too many transactions in the allowed period — they should try again later.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20068,Response received too late — timeout or internal error,The transaction timed out — this is typically a temporary issue. Retry may resolve it.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20075,Allowable PIN entry tries exceeded,The cardholder exceeded the allowed PIN attempts.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20078,Blocked at first use — new or replacement card not properly unblocked,The card has not been activated — the cardholder should contact their bank to activate it.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20082,No security model — PIN cryptographic error or negative CVV/dCVV/iCVV result,A security check on the card data failed — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20087,Bad track data — invalid CVV or expiry date,The card data submitted was invalid — the CVV or expiry date may be incorrect.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20091,Issuer unavailable or switch inoperative,The issuer's system was unavailable — this is a temporary issue. Retry later.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20092,Destination cannot be found for routing,The payment could not be routed to the issuer — may be a temporary network issue.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20094,Duplicate transmission or invoice,This transaction appears to be a duplicate of one already submitted.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20096,System malfunction,A system error occurred — this is typically temporary. Retry may resolve it.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20099,Other — unidentified response,The decline reason could not be identified — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200N7,Decline for CVV2 failure,The CVV2 security code did not match — the cardholder should check their card details.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200R1,Issuer initiated a stop payment (revocation order) for this authorisation,The issuer has placed a stop on this specific payment — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200R3,Issuer initiated a stop payment (revocation order) for all authorisations,The issuer has revoked all authorisations for this card — the cardholder must contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20100,Invalid expiry date format,The expiry date submitted was in an invalid format.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20103,Card type or payment method not supported,This card type or payment method is not supported for this transaction.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20106,Unsupported currency,The currency used is not supported for this card or merchant configuration.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30004,Pick up card — no fraud indicated,The issuer is requesting the card be retained — not fraud-related. The cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30007,Pick up card — special conditions,The issuer is requesting the card be retained under special conditions. The cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30015,No such issuer,The issuer identified by the card's BIN does not exist — the card number may be invalid.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30033,Expired card — pick up,The card has expired and the issuer is requesting it be retained.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30034,Suspected fraud — pick up,The issuer suspects fraud and is requesting the card be retained.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30041,Lost card — pick up,The card has been reported lost — the issuer is requesting it be retained.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30043,Stolen card — pick up,The card has been reported stolen — the issuer is requesting it be retained.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30046,Closed account,The account linked to this card has been closed — the cardholder should use a different card.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41101,Risk blocked transaction (client-level rule),This payment was blocked by a merchant-level risk rule configured in Checkout.com.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41201,Decline list match — card number (client level),This card number is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41202,Decline list match — BIN (client level),This card's BIN is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41203,Decline list match — email address (client level),This email address is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41204,Decline list match — phone (client level),This phone number is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41205,Decline list match — payment IP (client level),This IP address is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41301,Fraud score exceeds threshold (client level),The fraud score for this payment exceeded the merchant's configured threshold — it was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43101,Potential fraud risk (Checkout.com level),Checkout.com's risk engine flagged this payment as potentially fraudulent.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43102,Risk blocked transaction — rule group name returned in summary (Checkout.com level),This payment was blocked by a Checkout.com platform-level risk rule — the rule group name appears in the response summary.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43201,Decline list match — card number (Checkout.com level),This card number is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43202,Decline list match — BIN (Checkout.com level),This card's BIN is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43203,Decline list match — email address (Checkout.com level),This email address is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43204,Decline list match — phone (Checkout.com level),This phone number is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43205,Decline list match — payment IP (Checkout.com level),This IP address is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43206,Decline list match — email domain (Checkout.com level),This email domain is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43301,Fraud score exceeds threshold (Checkout.com level),The fraud score exceeded Checkout.com's platform-level threshold — the payment was blocked automatically.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43401,3DS authentication required,This payment requires 3DS authentication — it cannot proceed without it.
Response summary,Short human-readable description of the gateway response code returned for the payment action. Corresponds directly to the response code.,,The response summary is a free-text label paired with each response code. Examples: Approved / Declined - Do Not Honour / Insufficient Funds / Expired Card / Suspected Fraud / Risk Blocked Transaction / 3DS Authentication Required. Refer to the Response code field for the authoritative value.,A plain-English label describing the outcome of this payment action — read alongside the response code for the full picture.
Currency,Three-letter ISO 4217 currency code the payment was requested in (e.g. GBP / USD / EUR / OMR),,,The currency this payment was made in.
Metadata,Arbitrary key-value pairs attached to the payment by the merchant for their own reference (e.g. order ID / customer ID). Not processed by Checkout.com.,,,Custom data attached by the merchant — for example an internal order ID or customer reference.
Requested on,Timestamp when the payment request was made by the merchant (distinct from Date created which reflects gateway receipt),,,When the merchant submitted this payment request.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,A,Partial match — street address matches but postcode does not.,The street address matched but the postcode did not — partial AVS match.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,B,Partial match — street address matches but postcode not verified (international).,The street address matched but the postcode could not be verified — common for international cards.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,D,Full match — street address and postcode match (Visa international).,Both street address and postcode matched — full AVS match on a Visa international card.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,N,No match — neither street address nor postcode match.,Neither the address nor the postcode matched — AVS failed.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,S,AVS not supported by issuer.,The issuer does not support AVS checks.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,U,Address information unavailable — issuer does not participate in AVS.,The issuer does not participate in AVS — no address check was performed.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,W,Partial match — postcode matches but street address does not.,The postcode matched but the street address did not — partial AVS match.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,X,Full match — both street address and nine-digit postcode match (US only).,Both street address and nine-digit ZIP code matched — full AVS match (US cards).
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,Y,Full match — both street address and five-digit postcode match.,Both street address and postcode matched — full AVS match.
AVS check,Address Verification Service check result — compares the billing address provided by the cardholder against the address held by the issuer.,Z,Partial match — five-digit postcode matches but street address does not.,The postcode matched but the street address did not — partial AVS match.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Visa,Local scheme is Visa.,This transaction was processed via the Visa local scheme.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Mastercard,Local scheme is Mastercard.,This transaction was processed via the Mastercard local scheme.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Mada,Saudi domestic debit scheme — applies when a Mada card is used in Saudi Arabia.,This card is a Mada card — a Saudi domestic debit scheme. Specific rules apply for refunds and processing.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,Carte Bancaires,French domestic scheme — applies to co-badged cards in France.,This card is processed via the Carte Bancaires scheme — the French domestic network.
Local scheme,The local or domestic card scheme name where applicable. Populated when the transaction was processed via a local scheme alongside the international network.,(blank),No local scheme — transaction processed on the international scheme only.,No local scheme applies — this was processed solely on the international card network.
Card wallet type,Wallet or token service used to present the card for payment (where applicable),Apple Pay,Payment made via Apple Pay digital wallet.,The cardholder paid using Apple Pay.
Card wallet type,Wallet or token service used to present the card for payment (where applicable),Google Pay,Payment made via Google Pay digital wallet.,The cardholder paid using Google Pay.
Card wallet type,Wallet or token service used to present the card for payment (where applicable),(blank),No digital wallet used — card details entered directly.,The cardholder entered their card details directly — no digital wallet was used.
Is disputed,Indicates whether the payment has an open dispute raised by the cardholder's bank,Yes,A chargeback or pre-dispute has been raised against this payment. See dispute details.,This payment has an active dispute — check the dispute details section for deadlines and next steps.
Is disputed,Indicates whether the payment has an open dispute raised by the cardholder's bank,No,No dispute is currently open on this payment.,No dispute has been raised on this payment.
Recommendation code,Code returned by Visa or Mastercard on a declined payment indicating whether and how the merchant should retry. Only returned for Visa and Mastercard transactions.,01,Updated or additional information required — the decline may be resolved by providing updated card details or using 3DS authentication.,The scheme is asking for updated information — for example the card may have expired or authentication could help.
Recommendation code,Code returned by Visa or Mastercard on a declined payment indicating whether and how the merchant should retry. Only returned for Visa and Mastercard transactions.,02,Try again later — the decline is temporary (e.g. insufficient funds or velocity limit). Retry is appropriate after a suitable interval.,The decline is temporary — the merchant can retry this payment after waiting.
Recommendation code,Code returned by Visa or Mastercard on a declined payment indicating whether and how the merchant should retry. Only returned for Visa and Mastercard transactions.,03,Do not retry — the decline is permanent (e.g. account closed / suspected fraud / recurring agreement cancelled). Retrying will not succeed.,This payment should not be retried — the decline is permanent.
Total authorised,The total authorised amount in the payment's original currency. Reflects the sum of all successful authorisations.,,,The total amount that has been authorised for this payment.
Total captured,The total value of captures and partial captures in the payment's original currency.,,,The total amount that has actually been charged to the cardholder so far.
Total refunded,The total value of refunds and partial refunds in the payment's original currency. Does not include unreferenced refunds.,,,The total amount that has been refunded to the cardholder so far.
3DS protocol version,The version of the 3D Secure protocol used during authentication (e.g. 2.2.0 / 2.3.1),,,The version of 3DS used for authentication — relevant for understanding authentication behaviour and liability rules.
Transaction direction,Direction of the transaction flow,payin,Funds are moving from the cardholder to the merchant (standard payment).,This is an inbound payment — the cardholder paid the merchant.
Transaction direction,Direction of the transaction flow,payout,Funds are moving from the merchant to the cardholder (e.g. refund or disbursement).,This is an outbound payment — funds are being sent from the merchant to the cardholder.
Authentication status,Outcome of the payment during the authentication stage,authenticated,Authentication completed successfully.,The cardholder was successfully authenticated before this payment was processed.
Authentication status,Outcome of the payment during the authentication stage,failed,Authentication failed — the cardholder could not be verified.,Authentication failed — the cardholder could not be verified. The payment may not have proceeded.
Authentication status,Outcome of the payment during the authentication stage,expired,The authentication session expired before completion.,The authentication session timed out — the cardholder did not complete it in time.
Authentication status,Outcome of the payment during the authentication stage,rejected,Authentication was rejected by the issuer and should not be retried.,Authentication was rejected by the issuer — this payment should not be retried without a different approach.
Risk flagged,Indicates whether the payment was flagged by the risk engine for review or action,Yes,The risk engine flagged this payment based on one or more rules or score thresholds.,This payment was flagged by the risk engine — it may have been blocked or queued for review.
Risk flagged,Indicates whether the payment was flagged by the risk engine for review or action,No,The payment was not flagged by the risk engine.,This payment passed the risk engine without being flagged.
Fraud score,Numerical fraud score assigned to a specific action by the risk engine (0–100). More granular than the payment-level risk score.,,,The fraud score for this specific action — higher scores indicate greater fraud risk.
Sanction screening,Result of sanction or AML screening applied to the transaction,Approved,No sanctions matches found — payment cleared screening.,This payment passed sanctions screening — no matches were found.
Sanction screening,Result of sanction or AML screening applied to the transaction,Declined,A sanctions match was found — payment blocked.,This payment was blocked because a sanctions match was detected.
Retrieval reference number,Reference number used for dispute and chargeback lookups with the card scheme (also known as RRN). Related to but distinct from the ARN.,,,The scheme-assigned reference for retrieving this transaction — used in chargeback and dispute investigations.
Scheme merchant ID,The merchant ID assigned by the card scheme to identify the merchant in scheme-level reporting and dispute workflows.,,,The card scheme's own identifier for this merchant — used in dispute and scheme-level reporting.
Card acceptor ID,An identifier for the merchant account generated by the acquirer (also known as CAID). Used in scheme and acquirer-level reconciliation.,,,The acquirer's identifier for this merchant account — used in reconciliation and scheme reporting.
Dispute ID,Unique identifier for the dispute raised against this payment.,,,The unique reference for this dispute — use it to track and manage the chargeback.
Dispute status,Current status of the dispute,Open,The dispute has been raised and is awaiting merchant response or evidence submission.,A dispute has been opened — the merchant needs to respond or submit evidence.
Dispute status,Current status of the dispute,Evidence required,The merchant must submit evidence to contest the dispute before the deadline.,Evidence is required to contest this dispute — check the submission deadline urgently.
Dispute status,Current status of the dispute,Evidence submitted,The merchant has submitted evidence and the dispute is under review.,Evidence has been submitted — the dispute is now being reviewed by the scheme.
Dispute status,Current status of the dispute,Resolved — won,The dispute was resolved in the merchant's favour.,The dispute was resolved in the merchant's favour — no funds were lost.
Dispute status,Current status of the dispute,Resolved — lost,The dispute was resolved in the cardholder's favour. Funds returned to the cardholder.,The dispute was lost — the cardholder was refunded and the merchant is liable.
Dispute status,Current status of the dispute,Expired,The evidence submission deadline passed without a merchant response.,The evidence deadline passed without a response — the dispute was likely lost by default.
Dispute reason,Human-readable reason for the dispute raised by the cardholder's bank (e.g. Fraudulent transaction / Item not received / Duplicate charge),,,The reason the cardholder's bank gave for raising this dispute.
Dispute reason code,Scheme-specific reason code for the dispute (format varies by scheme — e.g. Visa 10.4 / Mastercard 4853),,,The scheme's standardised code for the dispute reason — used to determine the evidence required.
Dispute initiated date,Date the dispute was raised by the cardholder's bank.,,,When the cardholder's bank raised this dispute.
Submit evidence by date,Deadline by which the merchant must submit evidence to contest the dispute.,,,The deadline for the merchant to submit evidence — missing this date typically results in the dispute being lost.
Disputed amount,The amount under dispute in the payment's original currency.,,,The amount the cardholder is disputing.
