Status,Catalogue product,Catalogue category,Catalogue state,Catalogue pillar,Catalogue team,Zendesk value,Zendesk category,Zendesk tag,Note
CATALOGUE ONLY — not on roadmap,Payco,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Payconiq,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PayID,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PayMe,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Payment Lifecycle Analytics,Analytics,,Merchant Services,Data Connectivity & Analytics,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Payment Operations Report,Reporting,,Merchant Services,Data Connectivity & Analytics,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Payment Setup API,Payment Setup,Beta,Merchant Services,Payment Routing,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,PayPay,Payment Methods,Roadmap,Core Network,APM - UK,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,PayPo,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PaysafeCard,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Paytm,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PayTO,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Paze,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PLIN,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,POLi,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PostFinance,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Prestashop,Partner Integrations and Plugins,Deprecated,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Primer.io,Partner Integrations and Plugins,General availability,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Privat24,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PromptPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PSE,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,PTB - FX based on Live Market Rates,Treasury & FX,Not on roadmap,Financial Experiences,Merchant FX / Rev Ops,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Rabbit LINE PAY,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Rakuten Pay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Ratepay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Recurly,Partner Integrations and Plugins,General availability,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Red Compra,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Riverty,Payment Methods,Not on roadmap,Financial Experiences,Pricing and Billing,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Same and Cross-currency Transfers,Business Account,Beta,Financial Experiences,Client Balances,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,SAP OPF,Partner Integrations and Plugins,General availability,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Satispay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Settings & Access,Dashboard,General availability,Merchant Services,Dashboard,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,ShopeePay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,SoftPOS SDK,In-person payments,Roadmap,Core Network,Card Payments Processing Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,SPEI,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Splitit,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,SSGPAY,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Stablecoin Settlement,Payouts,Roadmap,Merchant Services,Card Payouts,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Standalone Authentication,Authentication,General availability,Value Added Services,Value Added Services Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Stripe Orchestration,Partner Integrations and Plugins,Roadmap,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Sunbit,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Third Party Payouts,Payouts,Mixed availability,Emerging Products,Bank Payouts,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Toss Pay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Traditional HardPOS,In-person payments,Not on roadmap,Core Network,Card Payments Processing Leads,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,troy,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Trust Protocols,Agentic Commerce,Roadmap,Value Added Services,Value Added Services Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Trustly,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Unified Commerce,In-person payments,Roadmap,Core Network,Card Payments Processing Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Unified Payments API (UPAPI),Unified Payments API,General availability,Merchant Services,Core Processing,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,UnionPay,Payment Methods,Beta,Core Network,Card Payments Processing Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,UPI,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,ViaBill,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Visualsoft,Partner Integrations and Plugins,Mixed availability,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Website Screening,Internal products,Beta,Emerging Products,Identity Verification,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Yape,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,YUNO,Partner Integrations and Plugins,Roadmap,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,ZaloPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Zelle,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Zingfit,Partner Integrations and Plugins,Mixed availability,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Zip,Payment Methods,Roadmap,Core Network,APM - UK,,,,Active/roadmap product with no Zendesk field value
ZENDESK ONLY — no catalogue match,,,,,,Analytics Assistant,Reporting & Analytics,product_name_reporting_analytics_analytics_assistant,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Bank Payouts,Payouts,product_name_payouts_bank_payouts,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,BIN Management,Issuing,product_name_issuing_bin_management,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Business Screening,Identity Verification,product_name_identity_verification_business_screening,
ZENDESK ONLY — no catalogue match,,,,,,Business Verification,Identity Verification,product_name_identity_verification_business_verification,
ZENDESK ONLY — no catalogue match,,,,,,Card Payouts,Payouts,product_name_payouts_card_payouts,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Card Product,Issuing,product_name_issuing_card_product,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Cardholder,Issuing,product_name_issuing_cardholder,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Dashboard Reports,Reporting & Analytics,product_name_reporting_analytics_dashboard_reports,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Dashboard Reports (non-financial reports),Reporting & Analytics,product_name_reporting_analytics_dashboard_reports_non_financial_reports,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Digital Wallets,Issuing,product_name_issuing_digital_wallets,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Entity Structure,Issuing,product_name_issuing_entity_structure,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Fraud,Issuing,product_name_issuing_fraud,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Issuing Region,Issuing,product_name_issuing_issuing_region,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Physical card PIN,Issuing,product_name_issuing_physical_card_pin,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Reports API,Reporting & Analytics,product_name_reporting_analytics_reports_api,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Reports API (non-financial reports),Reporting & Analytics,product_name_reporting_analytics_reports_api_non_financial_reports,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,SCA Exemptions,Issuing,product_name_issuing_sca_exemptions,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,SCA Out of Scope,Issuing,product_name_issuing_sca_out_of_scope,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Settlements,Business Account,product_name_business_account_settlements,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,SFTP (non-financial reports),Reporting & Analytics,product_name_reporting_analytics_sftp_non_financial_reports,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,SFTP Reports,Reporting & Analytics,product_name_reporting_analytics_sftp_reports,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Simulation,Issuing,product_name_issuing_simulation,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Spending Controls,Issuing,product_name_issuing_spending_controls,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Transactions,Issuing,product_name_issuing_transactions,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Transfers,Business Account,product_name_business_account_transfers,"Likely a sub-feature under a broader catalogue product, not a missing product"
ZENDESK ONLY — no catalogue match,,,,,,Unclassified Product,,product_name_unclassified_product,"Catch-all value, not a real product"
ZENDESK ONLY — no catalogue match,,,,,,UnionPay - Gateway,Payment Methods,product_name_payment_methods_unionpay_gateway,Likely corresponds to catalogue's 'UnionPay' with a suffix retained in Zendesk
