Field Name,Field Definition,Field Value,Value Definition,AI Summary
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20014,Invalid account number — card number not recognised or no longer in use,"These transactions are typically declined due to user input errors (e.g., incorrect card numbers) or technical issues on the issuer’s side where cards are incorrectly linked to bank accounts. To help recover these payments: 1) Encourage the user to retry using a different card or alternative payment method. 2) Consider issuer outreach through Checkout.com’s Support team or your account manager if multiple declines with this code are observed from the same issuer"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20017,Customer cancellation,"These decline codes are typically associated with subscription renewals. To help recover these payments: 1) Use Checkout.com’s Real-Time Account Updater to automatically refresh expired or updated card details. 2) If the transaction still fails, contact the user to provide an updated card or encourage them to use an alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20019,Re-enter transaction — transaction has expired or should be retried,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20030,Void failed — authorisation validity period has expired. The issuing bank has automatically released the hold on the funds.,The void failed because the authorisation has already expired — the issuing bank released the funds automatically. The merchant should confirm with the customer that the funds are available in their account. If a refund is needed, it must be processed separately.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20030,Refund failed — MADA refund attempted outside the permitted 30-day window or acquirer-specific manual refund process required.,The refund failed because MADA transactions must be refunded within 30 days of the original transaction. If the window has passed, the refund must be processed manually through the acquirer. A manual refund process applies depending on the acquirer (SNB/NCB/Alahli, Al Rajhi, SAB, or other).
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20038,Allowable PIN tries exceeded,"These transactions are typically declined due to user input errors or potential fraud, often when the user has entered an incorrect PIN multiple times beyond the issuer’s allowed limit. To help recover these payments: 1) Retry the transaction at a later time, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20040,Requested function not supported,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20051,Insufficient funds in the cardholder's account,"For MITs, consider: (1) aligning the charge date with local paydays, (2) processing transactions during local banking hours to improve authorization rates, and (3) leveraging Checkout.com’s Intelligent Acceptance to automatically manage retries, or using Checkout.com’s Dunning Retry Solution to schedule subscription retries at a cadence that fits your business model. For CITs, consider promoting alternative payment methods based on local availability and recurring payment capabilities. Note: Decline code 20051 falls under Visa System Integrity Monitoring Category 2, and excessive manual retries may increase scheme fees. You can also explore enabling partial authorizations where supported"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20054,Expired card,"These transactions are typically declined due to incorrect or outdated card details. To help recover these payments: 1) Leverage Checkout.com’s Network Tokens or Real-Time Account Updater to automatically refresh expired or updated card information. 2) Display a message asking the user to review their card details (number, expiration date, CVV, and address) and retry the transaction, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 3) Encourage the user to use a different card or alternative payment method to complete the transaction"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20055,Incorrect PIN or PIN validation not possible,"These transactions are typically declined due to incorrect or outdated card details. To help recover these payments: 1) Leverage Checkout.com’s Network Tokens to automatically refresh expired or updated card information. 2) Display a message asking the user to review their card details (number, expiration date, CVV, and address) and retry the transaction, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 3) Encourage the user to use a different card or alternative payment method to complete the transaction"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20056,No card record found,These declines are typically associated with Carte Bancaire transactions. To help recover these payments: 1) Use Checkout.com’s Intelligent Acceptance to automatically manage retries over Visa or Mastercard rails. 2) Display a message encouraging the user to retry using a different card or alternative payment method to complete the transaction.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20057,Transaction not permitted to cardholder — card has a restriction blocking this transaction type,"Start by reviewing your cardholder communication flows to ensure users are properly informed about transaction attempts. If the decline is related to an Account Funding Transaction (AFT), consider using Checkout.com’s Intelligent Acceptance to automatically downgrade or optimize transaction routing where applicable"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20058,Transaction not permitted to terminal,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20059,Suspected fraud — issuer's fraud system flagged the transaction,"To improve authorization performance and reduce issuer declines, consider the following actions: 1) Monitor fraud rates at the issuer level — levels above 35 bps are typically considered high and may trigger issuer-side risk models, leading to false declines. Merchants can enable Checkout.com’s Fraud Detection Pro to help lower their fraud score and improve authorization outcomes
For performance optimization, use Network Tokens to enhance authorization reliability, and Checkout.com’s Intelligent Acceptance to manage retries and intelligently optimize 3DS for CIT traffic. 4) Increase the amount and quality of data sent in the authorization message to strengthen issuer trust. 5) Review recommendation codes in your analytics dashboard to identify targeted corrective actions. 6) For MIT traffic, consider using 3RI to reduce fraud rates (available for Mastercard recurring transactions) or restart the MIT chain with authentication using the challenge_request_mandate indicator. Note: Decline code 20051 falls under Visa System Integrity Monitoring Category 2, and excessive retries can lead to higher scheme fees and increased false declines"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20061,Activity amount limit exceeded,The transaction exceeds the cardholder's spend limit — they should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20062,Restricted card,The card is restricted from making this type of payment.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20063,Security violation,A security check failed — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20065,Exceeds withdrawal frequency limit,The cardholder has made too many transactions in the allowed period — they should try again later.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20068,Response received too late — timeout or internal error,The transaction timed out — this is typically a temporary issue. Retry may resolve it.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20075,Allowable PIN entry tries exceeded,The cardholder exceeded the allowed PIN attempts.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20078,Blocked at first use — new or replacement card not properly unblocked,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20082,No security model — PIN cryptographic error or negative CVV/dCVV/iCVV result,A security check on the card data failed — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20087,Bad track data — invalid CVV or expiry date,The card data submitted was invalid — the CVV or expiry date may be incorrect.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20091,Issuer unavailable or switch inoperative,The issuer's system was unavailable — this is a temporary issue. Retry later.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20092,Destination cannot be found for routing,The payment could not be routed to the issuer — may be a temporary network issue.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20094,Duplicate transmission or invoice,This transaction appears to be a duplicate of one already submitted.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20096,System malfunction,A system error occurred — this is typically temporary. Retry may resolve it.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20099,Other — unidentified response,The decline reason could not be identified — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200N7,Decline for CVV2 failure,The CVV2 security code did not match — the cardholder should check their card details.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200R1,Issuer initiated a stop payment (revocation order) for this authorisation,The issuer has placed a stop on this specific payment — the cardholder should contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200R3,Issuer initiated a stop payment (revocation order) for all authorisations,The issuer has revoked all authorisations for this card — the cardholder must contact their bank.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20100,Invalid expiry date format,The expiry date submitted was in an invalid format.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20103,Card type or payment method not supported,This card type or payment method is not supported for this transaction.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20106,Unsupported currency,The currency used is not supported for this card or merchant configuration.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30004,Pick up card — no fraud indicated,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30007,Pick up card — special conditions,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30015,No such issuer,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30033,Expired card — pick up,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30034,Suspected fraud — pick up,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30041,Lost card — pick up,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30043,Stolen card — pick up,"The issuer has declined this transaction because the card has been reported as stolen. For one-off transactions, do not retry the payment or fulfill the associated goods or services. For recurring or scheduled transactions, the card may have been lost or replaced after the last successful payment. In these cases, contact the user to update their payment method, or use Checkout.com’s Real-Time Account Updater to automatically refresh card details with the new account information"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,30046,Closed account,"This transaction will not be approved by the issuer. To recover where possible: 1) Do not retry with the same card to avoid incurring Visa Integrity and gateway fees. 2) Encourage the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage eligible retries. 3) Offer alternative payment methods (e.g., digital wallets or local APMs) to help the user complete the transaction, ensuring these align with your risk appetite. 4) Use Checkout.com’s Real-Time Account Updater to automatically refresh expired or replaced card details. 5) Enable Network Tokens to maintain valid card credentials and reduce future declines"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41101,Risk blocked transaction (client-level rule),This payment was blocked by a merchant-level risk rule configured in Checkout.com.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41201,Decline list match — card number (client level),This card number is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41202,Decline list match — BIN (client level),This card's BIN is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41203,Decline list match — email address (client level),This email address is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41204,Decline list match — phone (client level),This phone number is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41205,Decline list match — payment IP (client level),This IP address is on the merchant's decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,41301,Fraud score exceeds threshold (client level),The fraud score for this payment exceeded the merchant's configured threshold — it was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43101,Potential fraud risk (Checkout.com level),Checkout.com's risk engine flagged this payment as potentially fraudulent.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43102,Risk blocked transaction — rule group name returned in summary (Checkout.com level),This payment was blocked by a Checkout.com platform-level risk rule — the rule group name appears in the response summary.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43201,Decline list match — card number (Checkout.com level),This card number is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43202,Decline list match — BIN (Checkout.com level),This card's BIN is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43203,Decline list match — email address (Checkout.com level),This email address is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43204,Decline list match — phone (Checkout.com level),This phone number is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43205,Decline list match — payment IP (Checkout.com level),This IP address is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43206,Decline list match — email domain (Checkout.com level),This email domain is on Checkout.com's platform-level decline list — the payment was blocked.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43301,Fraud score exceeds threshold (Checkout.com level),The fraud score exceeded Checkout.com's platform-level threshold — the payment was blocked automatically.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,43401,3DS authentication required,This payment requires 3DS authentication — it cannot proceed without it.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20002,Refer to card issuer - special conditions,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20006,Error / Invalid request parameters,"Display a message asking the user to review their card information (number, expiration date, CVV, and address) and retry the transaction, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Encourage the user to use a different card or alternative payment method to complete the transaction"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20009,Request in progress,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20010,Partial value approved,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20018,Customer dispute,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20020,Invalid response,"These transactions are typically declined due to configuration issues on third-party acquirer (TPA) MIDs. To help recover these payments: 1) Confirm whether 3DS is set as mandatory on the MID with your TPA and review the rationale. Ensure that 3DS is correctly requested for these transactions. 2) Check if the BIN is blacklisted by the acquiring bank, and confirm the reasoning with your TPA. Consider offering local payment methods such as BenefitPay (Bahrain), KNET (Kuwait), or QPAY (Qatar) to increase acceptance. 3) Verify if the BIN setup only supports credit cards. Some processors (e.g., Credimax, NBK MPGS, Doha MPGS) only process credit card transactions. Route debit card transactions through local payment processors like BenefitPay, KNET, or QPAY"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20021,No action taken (unable to back out prior transaction),"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20022,Suspected malfunction,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20023,Unacceptable transaction fee,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20024,File update not supported by the receiver,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20025,Unable to locate record on file,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20026,Duplicate file update record,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20027,File update field edit error,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20028,File is temporarily unavailable,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20029,File update not successful,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20031,Bank not supported by Switch,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20032,Completed partially,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20033,Previous scheme transaction ID invalid,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20039,No credit account,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20042,No universal value/amount,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20044,No investment account,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20046,Bank decline,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20052,No current (checking) account,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20053,No savings account,"These transactions are typically declined due to temporary technical errors, and this response code occurs infrequently. To help recover these payments: 1) Retry the transaction at a later time, or use Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Display a message encouraging the user to retry using a different card or alternative payment method"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,2005C,Transaction not supported / blocked by issuer,"This decline occurs when the issuer is temporarily unable to approve the transaction. The specific root cause can only be confirmed by the issuer, but common reasons include credit risk restrictions, issuer velocity controls, or account-level limitations for certain transaction types (for example, unauthenticated e-commerce payments). Merchants can leverage Checkout.com’s Intelligent Acceptance to automatically manage retries at the optimal time to improve approval rates"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20060,Card acceptor contact acquirer,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20064,Transaction does not fulfil AML requirement,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20066,Card acceptor call acquirer security,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20067,Hard capture - Pick up card at ATM,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,2006P,Cardholder ID verification failed,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20083,No accounts,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20084,No PBF,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20085,PBF update error,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20086,ATM malfunction,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20088,Unable to dispense/process,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20089,Administration error,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20090,Cut-off in progress,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20093,Transaction cannot be completed; violation of law,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20095,Reconcile error,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20097,Reconciliation totals reset,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20098,MAC error,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200N0,Force STIP,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200O5,PIN required,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200P1,Over daily limit,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200P9,Limit exceeded. Enter a lesser value.,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200S4,PTLF full,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200T2,Invalid transaction date,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200T3,Card not supported,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,200T5,CAF status = 0 or 9,
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20101,No Account / No Customer (Token is incorrect or invalid),
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20102,Invalid merchant / wallet ID,
